0.4467 31.03 2.11
0.5012 32.09 2.01
0.5623 28.07 1.51
0.631 27.02 2
0.7079 22.88 1.8
0.7943 20.05 0.45
0.8913 21.75 1.2
1 20.65 0.88
1.122 19.22 0.82
1.259 18.01 0.59
1.413 17.05 0.64
1.585 15.97 0.41
1.679 15.29 0.29
1.778 15.61 0.27
1.884 14.94 0.28
1.995 14.97 0.27
2.113 14.45 0.33
2.239 13.32 0.25
2.371 13.27 0.24
2.512 13.4 0.21
2.661 12.89 0.2
2.818 12.27 0.32
2.884 11.62 0.31
2.951 11.78 0.3
3.02 11.7 0.32
3.09 11.68 0.26
3.162 11.43 0.3
3.236 11.38 0.26
3.311 11.31 0.28
3.388 11.25 0.18
3.467 11.16 0.25
3.548 11.23 0.22
3.631 10.86 0.26
3.715 10.95 0.23
3.802 10.78 0.2
3.89 10.39 0.18
3.981 10.42 0.2
4.074 10.27 0.18
4.169 10.17 0.18
4.266 9.74 0.22
4.365 9.94 0.23
4.467 9.9 0.14
4.571 10.47 0.19
4.677 12.04 0.13
4.786 15.49 0.17
4.898 15.74 0.21
5.012 15.62 0.17
5.129 15.22 0.17
5.248 15.16 0.14
5.37 14.73 0.16
5.495 14.58 0.17
5.623 14.43 0.17
5.754 14.42 0.18
5.888 13.98 0.18
6.026 13.99 0.16
6.166 14.09 0.12
6.31 15.38 0.13
6.457 15.86 0.14
6.607 15.68 0.17
6.761 15.58 0.2
6.918 15.29 0.16
7.079 14.85 0.14
7.244 14.81 0.15
7.413 14.57 0.13
7.586 14.29 0.13
7.762 14.02 0.14
7.943 13.85 0.12
8.128 13.68 0.13
8.318 13.56 0.14
8.511 13.21 0.13
8.71 13.04 0.12
8.913 12.78 0.14
9.12 12.73 0.11
9.333 12.44 0.12
9.55 12.36 0.13
9.772 11.98 0.11
10 11.81 0.11
10.23 11.65 0.12
10.47 11.43 0.13
10.72 11.42 0.11
10.96 11.25 0.11
11.22 11.1 0.12
11.48 10.91 0.13
11.75 10.79 0.11
12.02 10.8 0.11
12.3 10.87 0.11
12.59 11.32 0.12
12.88 12.03 0.13
13.18 11.96 0.13
13.49 11.72 0.12
13.8 11.47 0.12
14.13 11.34 0.11
14.45 11.16 0.11
14.79 10.91 0.13
15.14 10.83 0.11
15.49 10.79 0.1
15.85 10.6 0.11
16.22 10.47 0.12
16.6 10.47 0.1
16.98 10.57 0.1
17.38 11.08 0.11
17.78 12 0.12
18.2 11.92 0.11
18.62 11.88 0.12
19.05 11.76 0.12
19.5 11.78 0.12
19.95 11.74 0.12
20.42 11.56 0.12
20.89 11.42 0.1
21.38 11.1 0.12
21.88 10.97 0.13
22.39 10.95 0.1
22.91 10.64 0.1
23.44 10.61 0.11
23.99 10.49 0.13
24.55 10.39 0.11
25.12 10.27 0.11
25.7 10.31 0.12
26.3 10.16 0.11
26.92 9.93 0.1
27.54 9.96 0.1
28.18 9.8 0.12
28.84 9.68 0.11
29.51 9.72 0.1
30.2 9.84 0.14
30.9 10.29 0.12
31.62 10.34 0.11
32.36 10.56 0.11
33.11 10.51 0.11
33.88 10.31 0.11
34.67 10.29 0.11
35.48 10.13 0.11
36.31 10.03 0.12
37.15 9.95 0.1
38.02 10.1 0.11
38.9 10.11 0.11
39.81 10.13 0.12
40.74 10.09 0.12
41.69 9.98 0.13
42.66 9.98 0.13
43.65 10.12 0.12
44.67 10.05 0.11
45.71 10.13 0.11
46.77 9.95 0.1
47.86 9.91 0.14
48.98 9.79 0.13
50.12 9.65 0.11
51.29 9.64 0.12
52.48 9.56 0.15
53.7 9.44 0.14
54.95 9.46 0.12
56.23 9.5 0.13
57.54 9.75 0.15
58.88 9.99 0.13
60.26 9.71 0.12
61.66 9.86 0.12
63.1 9.82 0.15
64.57 9.74 0.13
66.07 9.61 0.11
67.61 9.55 0.1
69.18 9.63 0.13
70.79 9.57 0.12
72.44 9.62 0.11
74.13 9.64 0.14
75.86 9.52 0.14
77.62 9.36 0.13
79.43 9.35 0.13
81.28 9.14 0.13
83.18 9.29 0.1
85.11 9.44 0.15
87.1 9.27 0.14
89.13 9.22 0.11
91.2 9.25 0.11
93.33 9.3 0.1
95.5 9.36 0.13
97.72 9.34 0.12
100 9.32 0.09
102.3 9.34 0.11
104.7 9.18 0.13
107.2 9.01 0.14
109.6 9.13 0.1
112.2 9.2 0.14
114.8 9.1 0.14
117.5 9.28 0.12
120.2 9.08 0.15
123 9.02 0.15
125.9 9.23 0.15
128.8 9.14 0.16
131.8 9.18 0.14
134.9 9.1 0.14
138 9.27 0.14
141.3 8.98 0.13
144.5 8.88 0.18
147.9 8.98 0.11
151.4 9.12 0.1
154.9 8.91 0.17
158.5 9.1 0.16
162.2 9.02 0.14
166 8.84 0.13
169.8 8.81 0.13
173.8 9.08 0.12
177.8 8.9 0.13
182 8.68 0.15
186.2 8.82 0.15
190.5 8.89 0.11
195 9.02 0.15
199.5 8.93 0.13
204.2 8.87 0.12
208.9 8.67 0.13
213.8 8.51 0.17
218.8 8.65 0.19
223.9 8.85 0.12
229.1 8.74 0.13
234.4 8.72 0.13
239.9 8.66 0.15
245.5 8.66 0.13
251.2 8.63 0.12
257 8.49 0.14
263 8.67 0.13
269.2 8.72 0.14
275.4 8.61 0.14
281.8 8.62 0.14
288.4 8.86 0.11
295.1 8.53 0.13
302 8.63 0.19
309 8.7 0.16
316.2 8.67 0.17
323.6 8.7 0.18
331.1 8.54 0.19
338.8 8.5 0.15
346.7 8.36 0.13
354.8 8.68 0.13
363.1 8.52 0.18
371.5 8.43 0.18
380.2 8.51 0.13
389 8.43 0.17
398.1 8.3 0.16
407.4 8.56 0.14
416.9 8.36 0.14
426.6 8.48 0.16
436.5 8.48 0.13
446.7 8.56 0.1
457.1 8.67 0.16
467.7 8.26 0.15
478.6 8.45 0.13
489.8 8.23 0.17
501.2 8.17 0.19
512.9 8.35 0.13
524.8 8.38 0.13
537 8.31 0.12
549.5 8.35 0.15
562.3 8.6 0.17
575.4 8.31 0.14
588.8 8.08 0.17
602.6 8.14 0.15
616.6 8.18 0.17
631 8.46 0.18
668.3 8.14 0.17
707.9 8.37 0.16
749.9 8.1 0.14
794.3 8.3 0.15
841.4 8.34 0.16
891.3 8.26 0.15
944.1 8.01 0.16
1000 7.98 0.13
1059 7.98 0.12
1122 8.2 0.15
1189 8.12 0.13
1259 8.16 0.13
1334 8.12 0.13
1413 8.28 0.17
1496 8.21 0.17
1585 8.1 0.18
1679 8.1 0.12
1778 7.86 0.16
1884 8.07 0.15
1995 8.09 0.13
2113 8.13 0.17
2239 8.1 0.16
2371 7.83 0.14
2512 7.7 0.15
2661 7.71 0.18
2818 7.77 0.17
2985 7.88 0.22
3162 7.87 0.15
3548 7.75 0.13
3981 7.69 0.13
4467 7.62 0.16
5012 7.97 0.15
5623 7.63 0.14
6310 7.85 0.16
7079 7.44 0.15
7943 7.51 0.18
8913 7.34 0.13
10000 7.6 0.11
11220 7.7 0.14
12590 7.65 0.14
14130 7.78 0.14
15850 7.36 0.13
17780 7.4 0.15
19950 7.47 0.16
25120 7.58 0.13
31620 7.62 0.13
39810 7.44 0.15
50120 7.48 0.14

