# Energy_eV TotalXS_barn
1.812417547374237711e-03 1.027350828633441848e+00
1.824993244816152391e-03 1.026496694184188208e+00
1.837656200388170478e-03 1.025636638248106802e+00
1.850407019542302115e-03 1.024770619807688243e+00
1.863246311931559835e-03 1.023898597561773816e+00
1.876174691439121437e-03 1.023020529923597044e+00
1.889192776207666326e-03 1.022136375018818377e+00
1.902301188668943871e-03 1.021317493266609588e+00
1.915500555573527823e-03 1.020500703405771592e+00
1.928791508020777801e-03 1.019678251685492310e+00
1.942174681489026522e-03 1.018850098896682432e+00
1.955650715865949168e-03 1.018016205559246323e+00
1.969220255479171497e-03 1.017176531920212401e+00
1.982883949127071596e-03 1.016361073627119804e+00
1.996642450109793483e-03 1.015587135237893790e+00
2.010496416260499231e-03 1.014807832794631048e+00
2.024446509976803900e-03 1.014023129161119918e+00
2.038493398252464155e-03 1.013232986944611946e+00
2.052637752709252084e-03 1.012437368494057743e+00
2.066880249629082268e-03 1.011636235898331293e+00
2.081221569986339229e-03 1.010895146201088890e+00
2.095662399480432980e-03 1.010158109097007539e+00
2.110203428568596575e-03 1.009415964588634473e+00
2.124845352498882720e-03 1.008668677328854901e+00
2.139588871343421454e-03 1.007916211726545219e+00
2.154434690031884272e-03 1.007158531944895685e+00
2.169383518385184159e-03 1.006422181472734101e+00
2.184436071149428466e-03 1.005727096266396892e+00
2.199593068030074750e-03 1.005027195311325450e+00
2.214855233726359396e-03 1.004322445291861321e+00
2.230223297965938743e-03 1.003612812662537435e+00
2.245697995539773940e-03 1.002898263646502697e+00
2.261280066337279480e-03 1.002178764233933705e+00
2.276970255381679901e-03 1.001515180527109861e+00
2.292769312865648810e-03 1.000857545912849256e+00
2.308677994187169520e-03 1.000195356128183111e+00
2.324697059985648094e-03 9.995285796754013186e-01
2.340827276178294395e-03 9.988571848397334030e-01
2.357069413996727789e-03 9.981811396878628173e-01
2.373424250023866040e-03 9.975174796254462350e-01
2.389892566231050126e-03 9.968823961268729050e-01
2.406475150015424062e-03 9.962429146081753784e-01
2.423172794237600514e-03 9.955990046713045771e-01
2.439986297259550199e-03 9.949506357089059616e-01
2.456916462982790088e-03 9.942977769028904511e-01
2.473964100886814031e-03 9.936403972229936876e-01
2.491130026067788373e-03 9.930501187754295911e-01
2.508415059277541159e-03 9.924706737505762932e-01
2.525820026962784671e-03 9.918872176225195236e-01
2.543345761304648036e-03 9.912997226896663738e-01
2.560993100258459210e-03 9.907081610599890453e-01
2.578762887593801043e-03 9.901125046497263327e-01
2.596655972934872221e-03 9.895331913845655247e-01
2.614673211801091940e-03 9.889943600961905723e-01
2.632815465648019864e-03 9.884518003153280885e-01
2.651083601908538895e-03 9.879054863123373220e-01
2.669478494034320699e-03 9.873553921809745670e-01
2.688001021537607393e-03 9.868014918371910138e-01
2.706652070033241288e-03 9.862437590179291558e-01
2.725432531281027707e-03 9.857338930153476397e-01
2.744343303228365376e-03 9.852331957168956045e-01
2.763385290053169997e-03 9.847290355519611182e-01
2.782559402207125665e-03 9.842213886480144502e-01
2.801866556459195207e-03 9.837102309689982338e-01
2.821307675939470957e-03 9.831955383142196858e-01
2.840883690183303948e-03 9.826955914013583149e-01
2.860595535175741895e-03 9.822369107767069396e-01
2.880444153396298067e-03 9.817750597862247020e-01
2.900430493863991651e-03 9.813100166000561231e-01
2.920555512182745027e-03 9.808417592391670548e-01
2.940820170587063812e-03 9.803702655743400385e-01
2.961225437988034351e-03 9.798955133251651128e-01
2.981772290019673362e-03 9.794654831846799636e-01
3.002461709085549064e-03 9.790461637613817603e-01
3.023294684405776565e-03 9.786239483113357007e-01
3.044272212064302961e-03 9.781988169249220544e-01
3.065395295056526793e-03 9.777707495568912499e-01
3.086664943337274428e-03 9.773397260254559349e-01
3.108082173869063970e-03 9.769218057344182249e-01
3.129648010670750373e-03 9.765454186621372878e-01
3.151363484866479339e-03 9.761664346023424255e-01
3.173229634734976452e-03 9.757848357359465430e-01
3.195247505759213607e-03 9.754006041229478230e-01
3.217418150676371654e-03 9.750137217016272562e-01
3.239742629528195514e-03 9.746241702877408430e-01
3.262222009711669788e-03 9.742765118970002636e-01
3.284857366030043482e-03 9.739410423898902103e-01
3.307649780744242440e-03 9.736032612688660937e-01
3.330600343624588386e-03 9.732631527148056794e-01
3.353710152002928671e-03 9.729207008018151415e-01
3.376980310825091272e-03 9.725758894965286228e-01
3.400411932703706255e-03 9.722369126298328057e-01
3.424006137971425789e-03 9.719214355764658198e-01
3.447764054734464220e-03 9.716037869970277630e-01
3.471686818926559247e-03 9.712839520629761303e-01
3.495775574363275268e-03 9.709619158461190169e-01
3.520031472796678832e-03 9.706376633179676361e-01
3.544455673970435625e-03 9.703111793490831749e-01
3.569049345675229679e-03 9.700440194909508707e-01
3.593813663804625805e-03 9.697979404263228353e-01
3.618749812411280273e-03 9.695501731044148253e-01
3.643858983763544404e-03 9.693007060735208125e-01
3.669142378402494038e-03 9.690495278060320405e-01
3.694601205199302477e-03 9.687966266979569641e-01
3.720236681413065759e-03 9.685526803689710196e-01
3.746050032748993088e-03 9.683457405832417431e-01
3.772042493416997554e-03 9.681373857424981910e-01
3.798215306190736145e-03 9.679276063127438823e-01
