Time_of_Flight_(µs),Corrected_Flux,Corrected_Flux_Uncertainty
2.310000000000000000e+02,1.277700000000000000e+04,1.130353926874231547e+02
2.330000000000000000e+02,1.278100000000000000e+04,1.130530848760881781e+02
2.349999999999999716e+02,1.288400000000000000e+04,1.135077089893020457e+02
2.370000000000000284e+02,1.302400000000000000e+04,1.141227409414968861e+02
2.390000000000000000e+02,1.285000000000000000e+04,1.133578404875461274e+02
2.410000000000000000e+02,1.298300000000000000e+04,1.139429681902311131e+02
2.430000000000000000e+02,1.301000000000000000e+04,1.140613869808712479e+02
2.450000000000000000e+02,1.294900000000000000e+04,1.137936729348348308e+02
2.470000000000000000e+02,1.308000000000000000e+04,1.143678276439659385e+02
2.489999999999999716e+02,1.295600000000000000e+04,1.138244262010575767e+02
2.509999999999999716e+02,1.329300000000000000e+04,1.152952731034529279e+02
2.529999999999999716e+02,1.294300000000000000e+04,1.137673063757774798e+02
2.550000000000000284e+02,1.302700000000000000e+04,1.141358839278873347e+02
2.570000000000000000e+02,1.295800000000000000e+04,1.138332113225314970e+02
2.590000000000000000e+02,1.293000000000000000e+04,1.137101578575984604e+02
2.610000000000000000e+02,1.323500000000000000e+04,1.150434700450223318e+02
2.630000000000000000e+02,1.313000000000000000e+04,1.145862120850506471e+02
2.650000000000000000e+02,1.308500000000000000e+04,1.143896848496406164e+02
2.670000000000000000e+02,1.318400000000000000e+04,1.148216007552582596e+02
2.690000000000000000e+02,1.311200000000000000e+04,1.145076416663978307e+02
2.710000000000000000e+02,1.302800000000000000e+04,1.141402645870421111e+02
2.729999999999999432e+02,1.320600000000000000e+04,1.149173616125954140e+02
2.750000000000000000e+02,1.336900000000000000e+04,1.156243918902928272e+02
2.770000000000000000e+02,1.342600000000000000e+04,1.158706175007282582e+02
2.790000000000000000e+02,1.320900000000000000e+04,1.149304137293511303e+02
2.810000000000000000e+02,1.342100000000000000e+04,1.158490397025361744e+02
2.830000000000000000e+02,1.349500000000000000e+04,1.161679818194315885e+02
2.850000000000000000e+02,1.328700000000000000e+04,1.152692500192479201e+02
2.870000000000000000e+02,1.323400000000000000e+04,1.150391237796957284e+02
2.890000000000000000e+02,1.357500000000000000e+04,1.165118019773108244e+02
2.910000000000000000e+02,1.333800000000000000e+04,1.154902593295209954e+02
2.929999999999999432e+02,1.350300000000000000e+04,1.162024096135701257e+02
2.950000000000000000e+02,1.354000000000000000e+04,1.163615056623111741e+02
2.970000000000000000e+02,1.358300000000000000e+04,1.165461282068172295e+02
2.990000000000000000e+02,1.367300000000000000e+04,1.169316039400819136e+02
3.010000000000000000e+02,1.367100000000000000e+04,1.169230516194311349e+02
3.030000000000000000e+02,1.342600000000000000e+04,1.158706175007282582e+02
3.050000000000000000e+02,1.369200000000000000e+04,1.170128198104812327e+02
3.070000000000000000e+02,1.405400000000000000e+04,1.185495676921691484e+02
3.090000000000000000e+02,1.370000000000000000e+04,1.170469991071968252e+02
3.109999999999999432e+02,1.388600000000000000e+04,1.178388730428123381e+02
3.129999999999999432e+02,1.395100000000000000e+04,1.181143513718798204e+02
3.150000000000000000e+02,1.398700000000000000e+04,1.182666478767368972e+02
3.170000000000000000e+02,1.398500000000000000e+04,1.182581921052405960e+02
3.190000000000000000e+02,1.411800000000000000e+04,1.188191903692331834e+02
3.210000000000000000e+02,1.423700000000000000e+04,1.193189004307369032e+02
3.230000000000000000e+02,1.416800000000000000e+04,1.190294081309311878e+02
3.250000000000000000e+02,1.425000000000000000e+04,1.193733638631329086e+02
3.270000000000000000e+02,1.429500000000000000e+04,1.195616995529926498e+02
3.290000000000000000e+02,1.438500000000000000e+04,1.199374837154755369e+02
3.309999999999999432e+02,1.424900000000000000e+04,1.193691752505637851e+02
3.329999999999999432e+02,1.443100000000000000e+04,1.201290972246115416e+02
3.350000000000000000e+02,1.458800000000000000e+04,1.207807931750739954e+02
3.370000000000000000e+02,1.441200000000000000e+04,1.200499895876710070e+02
